,Date,Visitor,Visitor G,Home,Home G,Visitor Open,Visitor Best,Home Open,Home Best
12,2023-01-14,Edmonton Oilers,4,Vegas Golden Knights,3,+130,+115,-156,-130
13,2023-01-14,New Jersey Devils,5,Los Angeles Kings,2,+105,+110,-126,-117
0,2023-01-15,Montréal Canadiens,2,New York Rangers,1,+220,+325,-275,-375
1,2023-01-15,Vancouver Canucks,4,Carolina Hurricanes,3,+188,+240,-230,-275
2,2023-01-15,Arizona Coyotes,1,Winnipeg Jets,2,+285,+310,-365,-345
0,2023-01-16,Florida Panthers,4,Buffalo Sabres,1,-137,-125,+114,+186
1,2023-01-16,Philadelphia Flyers,0,Boston Bruins,6,+198,+250,-245,-286
2,2023-01-16,Detroit Red Wings,3,Colorado Avalanche,6,+195,+185,-240,-195
3,2023-01-16,New Jersey Devils,4,San Jose Sharks,3,-188,-190,+155,+170
4,2023-01-16,Tampa Bay Lightning,4,Seattle Kraken,1,-126,-140,+105,+125
5,2023-01-16,Dallas Stars,4,Vegas Golden Knights,0,+114,+100,-137,-110
6,2023-01-16,New York Rangers,3,Columbus Blue Jackets,1,-225,-165,+184,+150
7,2023-01-16,Anaheim Ducks,3,Pittsburgh Penguins,4,+250,+275,-315,-330
8,2023-01-16,Washington Capitals,4,New York Islanders,3,+105,-108,-126,-110
9,2023-01-16,Calgary Flames,1,Nashville Predators,2,-150,-130,+125,+122
10,2023-01-16,Ottawa Senators,1,St. Louis Blues,2,+118,-110,-142,-104
0,2023-01-17,Anaheim Ducks,2,Philadelphia Flyers,5,+150,+185,-182,-205
1,2023-01-17,Minnesota Wild,4,Washington Capitals,2,+105,-135,-126,+126
2,2023-01-17,Winnipeg Jets,1,Montréal Canadiens,4,-194,-230,+160,+215
3,2023-01-17,Florida Panthers,4,Toronto Maple Leafs,5,+150,+158,-182,-160
4,2023-01-17,Columbus Blue Jackets,1,Nashville Predators,2,+162,+180,-196,-210
5,2023-01-17,Buffalo Sabres,3,Chicago Blackhawks,4,-114,-190,-105,+170
6,2023-01-17,Seattle Kraken,2,Edmonton Oilers,5,+126,+160,-152,-180
7,2023-01-17,Detroit Red Wings,3,Arizona Coyotes,4,-178,-130,+146,+115
0,2023-01-18,Pittsburgh Penguins,4,Ottawa Senators,5,-164,-105,+136,-105
1,2023-01-18,Boston Bruins,4,New York Islanders,1,-172,-190,+142,+170
2,2023-01-18,Colorado Avalanche,4,Calgary Flames,1,+126,+130,-152,-135
3,2023-01-18,Tampa Bay Lightning,5,Vancouver Canucks,2,-196,-150,+162,+145
4,2023-01-18,Dallas Stars,3,San Jose Sharks,5,-192,-155,+158,+140
0,2023-01-19,Boston Bruins,3,New York Rangers,1,+104,-110,-125,-105
1,2023-01-19,Anaheim Ducks,5,Columbus Blue Jackets,3,+104,+145,-125,-165
2,2023-01-19,Winnipeg Jets,1,Toronto Maple Leafs,4,+128,+150,-154,-165
3,2023-01-19,Chicago Blackhawks,4,Philadelphia Flyers,1,+172,+198,-205,-225
4,2023-01-19,Florida Panthers,6,Montréal Canadiens,2,-245,-240,+198,+205
5,2023-01-19,Minnesota Wild,2,Carolina Hurricanes,5,+136,+158,-164,-175
6,2023-01-19,New York Islanders,2,Buffalo Sabres,3,-110,+114,-110,-120
7,2023-01-19,Nashville Predators,2,St. Louis Blues,5,+100,-120,-120,+105
8,2023-01-19,Washington Capitals,4,Arizona Coyotes,0,-194,-210,+160,+200
9,2023-01-19,Tampa Bay Lightning,3,Edmonton Oilers,5,-128,+110,+106,-120
10,2023-01-19,Detroit Red Wings,3,Vegas Golden Knights,2,+128,+150,-154,-165
11,2023-01-19,New Jersey Devils,3,Seattle Kraken,4,-105,-130,-114,+120
12,2023-01-19,Dallas Stars,4,Los Angeles Kings,0,+106,+125,-128,-135
0,2023-01-20,Ottawa Senators,1,Pittsburgh Penguins,4,+132,+140,-160,-160
1,2023-01-20,Colorado Avalanche,4,Vancouver Canucks,1,-196,-145,+162,+130
0,2023-01-21,Anaheim Ducks,3,Buffalo Sabres,6,+215,+240,-255,-275
1,2023-01-21,Tampa Bay Lightning,3,Calgary Flames,6,-105,-105,-115,-110
2,2023-01-21,Minnesota Wild,3,Florida Panthers,5,+112,+102,-134,-115
3,2023-01-21,Toronto Maple Leafs,2,Montréal Canadiens,3,-275,-360,+230,+300
4,2023-01-21,Philadelphia Flyers,2,Detroit Red Wings,1,+130,+120,-156,-135
5,2023-01-21,San Jose Sharks,3,Columbus Blue Jackets,5,-142,-135,+118,+117
6,2023-01-21,Winnipeg Jets,5,Ottawa Senators,1,-146,-135,+122,+120
7,2023-01-21,Carolina Hurricanes,5,New York Islanders,2,-142,-175,+118,+155
8,2023-01-21,Arizona Coyotes,0,Dallas Stars,4,+280,+280,-360,-350
9,2023-01-21,Chicago Blackhawks,5,St. Louis Blues,3,+215,+245,-255,-250
10,2023-01-21,Los Angeles Kings,3,Nashville Predators,5,+114,+100,-137,-115
11,2023-01-21,Colorado Avalanche,2,Seattle Kraken,1,-137,-105,+114,-110
12,2023-01-21,Washington Capitals,2,Vegas Golden Knights,6,+100,+115,-120,-110
13,2023-01-21,Edmonton Oilers,4,Vancouver Canucks,2,-155,-195,+135,+180
0,2023-01-22,Pittsburgh Penguins,1,New Jersey Devils,2,+108,+130,-130,-140
1,2023-01-22,San Jose Sharks,0,Boston Bruins,4,+245,+320,-310,-375
2,2023-01-22,Los Angeles Kings,2,Chicago Blackhawks,1,-182,-225,+150,+195
3,2023-01-22,Winnipeg Jets,5,Philadelphia Flyers,3,-140,-155,+116,+140
4,2023-01-22,Vegas Golden Knights,1,Arizona Coyotes,4,-245,-210,+198,+190
0,2023-01-23,Florida Panthers,2,New York Rangers,6,+104,+140,-125,-155
1,2023-01-23,New York Islanders,2,Toronto Maple Leafs,5,+164,+192,-200,-225
2,2023-01-23,Buffalo Sabres,3,Dallas Stars,2,+190,+165,-235,-180
3,2023-01-23,Columbus Blue Jackets,3,Calgary Flames,4,+280,+290,-360,-335
0,2023-01-24,Florida Panthers,6,Pittsburgh Penguins,7,+118,+150,-142,-165
1,2023-01-24,Minnesota Wild,2,Tampa Bay Lightning,4,-105,+146,-115,-160
2,2023-01-24,San Jose Sharks,2,Detroit Red Wings,3,+122,+125,-146,-135
3,2023-01-24,Los Angeles Kings,4,Philadelphia Flyers,3,-182,-125,+150,+116
4,2023-01-24,Boston Bruins,4,Montréal Canadiens,2,-320,-390,+255,+325
5,2023-01-24,Vegas Golden Knights,2,New Jersey Devils,3,+128,+160,-154,-170
6,2023-01-24,Buffalo Sabres,5,St. Louis Blues,3,+140,+120,-170,-130
7,2023-01-24,Winnipeg Jets,1,Nashville Predators,2,-108,-115,-111,+100
8,2023-01-24,Washington Capitals,2,Colorado Avalanche,3,+146,+115,-178,-125
9,2023-01-24,Anaheim Ducks,5,Arizona Coyotes,2,+112,+110,-134,-125
10,2023-01-24,Chicago Blackhawks,2,Vancouver Canucks,5,+176,+205,-215,-225
0,2023-01-25,New York Rangers,2,Toronto Maple Leafs,3,+122,+136,-146,-152
1,2023-01-25,New York Islanders,1,Ottawa Senators,2,-108,+112,-111,-120
2,2023-01-25,Carolina Hurricanes,3,Dallas Stars,2,-110,-115,-110,-104
3,2023-01-25,Columbus Blue Jackets,3,Edmonton Oilers,2,+300,+310,-385,-380
4,2023-01-25,Vancouver Canucks,1,Seattle Kraken,6,+162,+160,-196,-165
0,2023-01-26,Detroit Red Wings,4,Montréal Canadiens,3,-102,-150,-118,+140
1,2023-01-26,Boston Bruins,2,Tampa Bay Lightning,3,+114,+100,-137,-105
2,2023-01-26,Pittsburgh Penguins,2,Washington Capitals,3,+110,+110,-132,-125
3,2023-01-26,Philadelphia Flyers,2,Minnesota Wild,3,+195,+202,-240,-225
4,2023-01-26,New Jersey Devils,4,Nashville Predators,6,-118,-118,-102,+105
5,2023-01-26,Buffalo Sabres,3,Winnipeg Jets,2,+164,+158,-200,-175
6,2023-01-26,Anaheim Ducks,5,Colorado Avalanche,3,+320,+340,-420,-400
7,2023-01-26,St. Louis Blues,0,Arizona Coyotes,5,-176,-150,+146,+136
8,2023-01-26,Chicago Blackhawks,5,Calgary Flames,1,+315,+340,-410,-400
0,2023-01-27,Los Angeles Kings,4,Florida Panthers,3,+126,+120,-152,-135
1,2023-01-27,San Jose Sharks,4,Carolina Hurricanes,5,+240,+240,-300,-260
2,2023-01-27,Vegas Golden Knights,1,New York Rangers,4,+132,+125,-160,-130
3,2023-01-27,Detroit Red Wings,0,New York Islanders,2,+114,+160,-137,-180
4,2023-01-27,Ottawa Senators,6,Toronto Maple Leafs,2,+172,+176,-210,-200
5,2023-01-27,New Jersey Devils,3,Dallas Stars,2,+112,+135,-134,-155
6,2023-01-27,Columbus Blue Jackets,2,Vancouver Canucks,5,+128,+160,-154,-170
7,2023-01-27,Calgary Flames,5,Seattle Kraken,2,-110,+100,-110,-113
0,2023-01-28,St. Louis Blues,2,Colorado Avalanche,4,+195,+195,-240,-215
1,2023-01-28,Boston Bruins,3,Florida Panthers,4,-150,-154,+125,+140
2,2023-01-28,Los Angeles Kings,2,Tampa Bay Lightning,5,+164,+200,-200,-215
3,2023-01-28,Philadelphia Flyers,4,Winnipeg Jets,0,+180,+190,-220,-215
4,2023-01-28,San Jose Sharks,6,Pittsburgh Penguins,4,+195,+210,-240,-240
5,2023-01-28,Montréal Canadiens,0,Ottawa Senators,5,+160,+210,-194,-230
6,2023-01-28,Vegas Golden Knights,1,New York Islanders,2,-108,-115,-111,+100
7,2023-01-28,Buffalo Sabres,2,Minnesota Wild,3,+162,+155,-196,-175
8,2023-01-28,Columbus Blue Jackets,1,Seattle Kraken,3,+195,+220,-240,-250
9,2023-01-28,Chicago Blackhawks,3,Edmonton Oilers,7,+255,+350,-320,-400
10,2023-01-28,Arizona Coyotes,1,Anaheim Ducks,2,+140,-104,-170,-110
0,2023-01-29,Washington Capitals,1,Toronto Maple Leafs,5,+122,+120,-146,-140
1,2023-01-29,Boston Bruins,1,Carolina Hurricanes,4,+114,+110,-137,-125
0,2023-01-30,St. Louis Blues,2,Winnipeg Jets,4,+146,+196,-178,-225
0,2023-01-31,Los Angeles Kings,4,Carolina Hurricanes,5,+180,+180,-210,-195
1,2023-01-31,Ottawa Senators,5,Montréal Canadiens,4,-175,-200,+150,+176
2,2023-01-31,Washington Capitals,4,Columbus Blue Jackets,3,-215,-210,+185,+190
0,2023-02-01,Boston Bruins,5,Toronto Maple Leafs,2,+100,-129,-120,+115
1,2023-02-01,Carolina Hurricanes,5,Buffalo Sabres,1,-156,-145,+130,+125
0,2023-02-04,Carolina Hurricanes,1,Carolina Hurricanes,6,-125,-115,+105,-105
1,2023-02-04,Carolina Hurricanes,1,Carolina Hurricanes,0,+100,+115,-120,-135
2,2023-02-04,Carolina Hurricanes,L,Carolina Hurricanes,7,+105,N/AN,-125,/A
0,2023-02-06,Tampa Bay Lightning,1,Florida Panthers,7,-125,-120,+105,+102
1,2023-02-06,New York Islanders,2,Philadelphia Flyers,1,-130,-125,+110,+110
2,2023-02-06,Vancouver Canucks,4,New Jersey Devils,5,+185,+210,-215,-245
3,2023-02-06,Calgary Flames,4,New York Rangers,5,+100,-110,-120,-105
4,2023-02-06,Anaheim Ducks,2,Dallas Stars,3,+280,+325,-340,-370
5,2023-02-06,Minnesota Wild,2,Arizona Coyotes,3,-225,-225,+190,+205
0,2023-02-07,San Jose Sharks,4,Tampa Bay Lightning,3,+245,+200,-310,-225
1,2023-02-07,Colorado Avalanche,1,Pittsburgh Penguins,2,-126,-110,+105,-105
2,2023-02-07,Edmonton Oilers,5,Detroit Red Wings,2,-162,-170,+134,+150
3,2023-02-07,Seattle Kraken,0,New York Islanders,4,-110,+105,-110,-110
4,2023-02-07,Vegas Golden Knights,5,Nashville Predators,1,-102,+102,-118,-115
5,2023-02-07,Anaheim Ducks,3,Chicago Blackhawks,2,-106,+108,-113,-125
0,2023-02-08,Vancouver Canucks,3,New York Rangers,4,+190,+215,-235,-235
1,2023-02-08,Minnesota Wild,1,Dallas Stars,4,+106,+135,-128,-150
0,2023-02-09,San Jose Sharks,1,Florida Panthers,4,+198,+185,-245,-215
1,2023-02-09,Seattle Kraken,1,New Jersey Devils,3,+126,+145,-152,-125
2,2023-02-09,Calgary Flames,1,Detroit Red Wings,2,-170,-154,+140,+135
3,2023-02-09,Colorado Avalanche,0,Tampa Bay Lightning,5,+104,+126,-125,-143
4,2023-02-09,Edmonton Oilers,1,Philadelphia Flyers,2,-162,-182,+134,+170
5,2023-02-09,Vancouver Canucks,6,New York Islanders,5,+205,+200,-260,-225
6,2023-02-09,Vegas Golden Knights,5,Minnesota Wild,1,-110,+100,-110,-115
0,2023-02-10,Toronto Maple Leafs,3,Columbus Blue Jackets,0,-240,-245,+195,+215
1,2023-02-10,Seattle Kraken,3,New York Rangers,6,+150,+170,-182,-190
2,2023-02-10,Arizona Coyotes,3,Chicago Blackhawks,4,-110,-105,-110,-105
3,2023-02-10,Pittsburgh Penguins,6,Anaheim Ducks,3,-192,-255,+158,+220
0,2023-02-11,Vancouver Canucks,2,Detroit Red Wings,5,+126,+115,-152,-128
1,2023-02-11,New York Islanders,3,Montréal Canadiens,4,-170,-205,+140,+185
2,2023-02-11,Nashville Predators,2,Philadelphia Flyers,1,-146,-125,+122,+112
3,2023-02-11,Edmonton Oilers,6,Ottawa Senators,3,-145,-145,+125,+125
4,2023-02-11,Calgary Flames,7,Buffalo Sabres,2,-137,-130,+114,+122
5,2023-02-11,Tampa Bay Lightning,3,Dallas Stars,1,-105,-104,-115,-105
6,2023-02-11,Washington Capitals,2,Boston Bruins,1,+160,+170,-190,-180
7,2023-02-11,Colorado Avalanche,5,Florida Panthers,3,+100,+125,-120,-135
8,2023-02-11,New York Rangers,6,Carolina Hurricanes,2,+126,+175,-152,-205
9,2023-02-11,Columbus Blue Jackets,4,Toronto Maple Leafs,3,+235,+300,-295,-345
10,2023-02-11,Arizona Coyotes,5,St. Louis Blues,6,+160,+180,-194,-200
11,2023-02-11,New Jersey Devils,2,Minnesota Wild,3,+100,+106,-120,-110
12,2023-02-11,Chicago Blackhawks,1,Winnipeg Jets,4,+255,+315,-320,-360
13,2023-02-11,Pittsburgh Penguins,0,Los Angeles Kings,6,-110,+105,-110,-120
0,2023-02-12,Edmonton Oilers,2,Montréal Canadiens,6,-275,-275,+220,+230
1,2023-02-12,Seattle Kraken,4,Philadelphia Flyers,3,-150,-155,+127,+135
2,2023-02-12,San Jose Sharks,4,Washington Capitals,1,+179,+160,-215,-175
3,2023-02-12,Anaheim Ducks,2,Vegas Golden Knights,7,+280,+290,-340,-345
0,2023-02-13,Calgary Flames,3,Ottawa Senators,4,-142,-165,+116,+150
1,2023-02-13,Florida Panthers,2,Minnesota Wild,1,+105,-110,-126,-105
2,2023-02-13,Arizona Coyotes,4,Nashville Predators,2,+176,+215,-215,-240
3,2023-02-13,Detroit Red Wings,6,Vancouver Canucks,1,+100,+107,-120,-110
4,2023-02-13,Buffalo Sabres,2,Los Angeles Kings,5,+122,+123,-146,-135
0,2023-02-14,Carolina Hurricanes,3,Washington Capitals,2,-142,-160,+118,+155
1,2023-02-14,Chicago Blackhawks,0,Montréal Canadiens,4,+120,+125,-144,-140
2,2023-02-14,Ottawa Senators,3,New York Islanders,2,+140,+170,-170,-200
3,2023-02-14,New Jersey Devils,3,Columbus Blue Jackets,2,-210,-200,+172,+180
4,2023-02-14,Seattle Kraken,2,Winnipeg Jets,3,+112,+115,-134,-130
5,2023-02-14,Florida Panthers,2,St. Louis Blues,6,-126,-130,+105,+120
6,2023-02-14,Boston Bruins,3,Dallas Stars,2,-122,-120,+102,+105
7,2023-02-14,Tampa Bay Lightning,4,Colorado Avalanche,3,+106,-115,-128,+105
8,2023-02-14,Pittsburgh Penguins,3,San Jose Sharks,1,-170,-165,+140,+165
0,2023-02-15,Chicago Blackhawks,2,Toronto Maple Leafs,5,+290,+460,-375,-550
1,2023-02-15,Tampa Bay Lightning,0,Arizona Coyotes,1,-245,-250,+198,+210
2,2023-02-15,Colorado Avalanche,3,Minnesota Wild,2,+104,+110,-125,-125
3,2023-02-15,Detroit Red Wings,5,Edmonton Oilers,4,+198,+205,-245,-240
4,2023-02-15,New York Rangers,6,Vancouver Canucks,4,-175,-190,+150,+180
5,2023-02-15,Buffalo Sabres,7,Anaheim Ducks,3,-200,-200,+170,+185
0,2023-02-16,Florida Panthers,6,Washington Capitals,3,-128,-117,+106,+105
1,2023-02-16,Winnipeg Jets,1,Columbus Blue Jackets,3,-210,-184,+172,+170
2,2023-02-16,Montréal Canadiens,2,Carolina Hurricanes,6,+300,+390,-385,-435
3,2023-02-16,Boston Bruins,5,Nashville Predators,0,-156,-175,+130,+158
4,2023-02-16,New Jersey Devils,2,St. Louis Blues,4,-150,-140,+125,+130
5,2023-02-16,Detroit Red Wings,5,Calgary Flames,2,+210,+235,-260,-275
6,2023-02-16,San Jose Sharks,1,Vegas Golden Knights,2,+210,+170,-260,-180
7,2023-02-16,Philadelphia Flyers,2,Seattle Kraken,6,+168,+165,-205,-180
0,2023-02-17,Chicago Blackhawks,4,Ottawa Senators,3,+168,+230,-205,-250
1,2023-02-17,Pittsburgh Penguins,4,New York Islanders,5,-110,+112,-110,-124
2,2023-02-17,Dallas Stars,1,Minnesota Wild,2,+100,-110,-120,+100
3,2023-02-17,New York Rangers,5,Edmonton Oilers,4,+104,+120,-125,-129
4,2023-02-17,Los Angeles Kings,6,Anaheim Ducks,3,-205,-245,+168,+230
0,2023-02-18,Colorado Avalanche,4,St. Louis Blues,1,-166,-175,+138,+165
1,2023-02-18,Florida Panthers,3,Nashville Predators,7,-126,-132,+105,+125
2,2023-02-18,New York Islanders,2,Boston Bruins,6,+168,+225,-205,-255
3,2023-02-18,New Jersey Devils,5,Pittsburgh Penguins,2,-110,-125,-110,+120
4,2023-02-18,Columbus Blue Jackets,4,Dallas Stars,1,+195,+245,-240,-285
5,2023-02-18,Montréal Canadiens,1,Toronto Maple Leafs,5,+285,+350,-365,-420
6,2023-02-18,Washington Capitals,1,Carolina Hurricanes,4,+168,+170,-205,-190
7,2023-02-18,Philadelphia Flyers,2,Vancouver Canucks,6,+112,+105,-134,-120
8,2023-02-18,New York Rangers,2,Calgary Flames,3,+128,+135,-154,-140
9,2023-02-18,Buffalo Sabres,4,San Jose Sharks,2,+105,-120,-126,+105
10,2023-02-18,Detroit Red Wings,2,Seattle Kraken,4,+130,+155,-156,-175
11,2023-02-18,Arizona Coyotes,5,Los Angeles Kings,6,+180,+205,-220,-230
12,2023-02-18,Tampa Bay Lightning,4,Vegas Golden Knights,5,-108,-129,-111,+115
0,2023-02-19,Nashville Predators,3,Minnesota Wild,4,+126,+170,-152,-176
1,2023-02-19,St. Louis Blues,2,Ottawa Senators,7,+126,+160,-152,-175
2,2023-02-19,Edmonton Oilers,5,Colorado Avalanche,6,+105,-110,-125,+105
3,2023-02-19,Toronto Maple Leafs,3,Chicago Blackhawks,5,-255,-315,+205,+265
4,2023-02-19,Winnipeg Jets,2,New Jersey Devils,4,+105,+105,-126,-120
5,2023-02-19,Columbus Blue Jackets,2,Arizona Coyotes,3,+114,+112,-135,-125
0,2023-02-20,Ottawa Senators,1,Boston Bruins,3,+188,+320,-230,-350
1,2023-02-20,Anaheim Ducks,3,Florida Panthers,4,+310,+350,-400,-410
2,2023-02-20,Philadelphia Flyers,4,Calgary Flames,3,+184,+215,-225,-245
3,2023-02-20,Seattle Kraken,0,San Jose Sharks,4,-154,-162,+128,+150
4,2023-02-20,New York Islanders,4,Pittsburgh Penguins,2,+112,+145,-134,-155
5,2023-02-20,Winnipeg Jets,4,New York Rangers,1,+125,+146,-150,-165
0,2023-02-21,Anaheim Ducks,1,Tampa Bay Lightning,6,+365,+450,-490,-520
1,2023-02-21,St. Louis Blues,1,Carolina Hurricanes,4,+215,+300,-265,-345
2,2023-02-21,Detroit Red Wings,3,Washington Capitals,1,+132,+135,-160,-150
3,2023-02-21,Montréal Canadiens,5,New Jersey Devils,2,+275,+310,-350,-345
4,2023-02-21,Toronto Maple Leafs,6,Buffalo Sabres,3,-164,-167,+136,+155
5,2023-02-21,Vancouver Canucks,4,Nashville Predators,5,+140,+145,-165,-155
6,2023-02-21,Los Angeles Kings,1,Minnesota Wild,2,+110,+110,-130,-125
7,2023-02-21,Vegas Golden Knights,2,Chicago Blackhawks,3,-280,-265,+235,+235
8,2023-02-21,Philadelphia Flyers,2,Edmonton Oilers,4,+245,+280,-295,-330
0,2023-02-22,Winnipeg Jets,1,New York Islanders,2,+112,-105,-134,-109
1,2023-02-22,Chicago Blackhawks,4,Dallas Stars,3,+290,+365,-375,-425
2,2023-02-22,Calgary Flames,6,Arizona Coyotes,3,-205,-225,+168,+205
0,2023-02-23,Minnesota Wild,2,Columbus Blue Jackets,0,-196,-175,+162,+158
1,2023-02-23,Los Angeles Kings,3,New Jersey Devils,4,+112,+125,-134,-140
2,2023-02-23,Buffalo Sabres,6,Tampa Bay Lightning,5,+198,+190,-245,-225
3,2023-02-23,Anaheim Ducks,4,Washington Capitals,2,+184,+270,-225,-315
4,2023-02-23,Edmonton Oilers,7,Pittsburgh Penguins,2,+100,-104,-120,-110
5,2023-02-23,New York Rangers,1,Detroit Red Wings,4,-137,-150,+114,+148
6,2023-02-23,Vancouver Canucks,3,St. Louis Blues,2,+104,+108,-125,-120
7,2023-02-23,Calgary Flames,3,Vegas Golden Knights,4,+140,+115,-170,-129
8,2023-02-23,Boston Bruins,6,Seattle Kraken,5,-182,-175,+150,+155
9,2023-02-23,Nashville Predators,6,San Jose Sharks,2,-134,-115,+112,+100
0,2023-02-24,Minnesota Wild,1,Toronto Maple Leafs,2,+126,+180,-152,-200
1,2023-02-24,Montréal Canadiens,5,Philadelphia Flyers,2,+125,+140,-145,-160
2,2023-02-24,Ottawa Senators,0,Carolina Hurricanes,4,+215,+205,-265,-230
3,2023-02-24,Buffalo Sabres,3,Florida Panthers,1,+168,+170,-205,-194
4,2023-02-24,Los Angeles Kings,3,New York Islanders,2,+112,+118,-134,-130
5,2023-02-24,Colorado Avalanche,5,Winnipeg Jets,1,-140,+100,+116,-110
0,2023-02-25,Edmonton Oilers,5,Columbus Blue Jackets,6,-245,-245,+205,+220
1,2023-02-25,New York Rangers,3,Washington Capitals,6,-140,-140,+120,+132
2,2023-02-25,Pittsburgh Penguins,3,St. Louis Blues,2,-155,-166,+135,+150
3,2023-02-25,Philadelphia Flyers,0,New Jersey Devils,7,+230,+255,-275,-265
4,2023-02-25,Ottawa Senators,5,Montréal Canadiens,2,-170,-150,+145,+140
5,2023-02-25,Anaheim Ducks,3,Carolina Hurricanes,2,+350,+400,-435,-500
6,2023-02-25,Boston Bruins,3,Vancouver Canucks,1,-255,-260,+215,+235
7,2023-02-25,Tampa Bay Lightning,3,Detroit Red Wings,0,-150,-170,+130,+158
8,2023-02-25,Chicago Blackhawks,4,San Jose Sharks,3,+160,+190,-190,-210
9,2023-02-25,Calgary Flames,1,Colorado Avalanche,4,+115,+100,-135,-105
10,2023-02-25,Dallas Stars,3,Vegas Golden Knights,2,+100,+102,-120,-115
0,2023-02-26,Washington Capitals,4,Buffalo Sabres,7,-110,+100,-110,-115
1,2023-02-26,Columbus Blue Jackets,2,Minnesota Wild,3,+237,+250,-297,-295
2,2023-02-26,New York Islanders,4,Winnipeg Jets,0,+114,+126,-137,-140
3,2023-02-26,Los Angeles Kings,2,New York Rangers,5,+116,+145,-140,-155
4,2023-02-26,Tampa Bay Lightning,3,Pittsburgh Penguins,7,-125,-105,+104,-105
5,2023-02-26,Toronto Maple Leafs,5,Seattle Kraken,1,-142,-150,+118,+132
6,2023-02-26,Nashville Predators,6,Arizona Coyotes,2,-170,-164,+145,+145
0,2023-02-27,Detroit Red Wings,2,Ottawa Senators,6,+115,+110,-135,-125
1,2023-02-27,Boston Bruins,3,Edmonton Oilers,2,-130,-125,+110,+110
2,2023-02-27,Vancouver Canucks,5,Dallas Stars,4,+220,+230,-260,-265
3,2023-02-27,Vegas Golden Knights,0,Colorado Avalanche,3,+120,+130,-140,-140
4,2023-02-27,Chicago Blackhawks,2,Anaheim Ducks,4,+115,+115,-135,-125
0,2023-02-28,Detroit Red Wings,1,Ottawa Senators,6,+110,+115,-130,-125
1,2023-02-28,Florida Panthers,4,Tampa Bay Lightning,1,+145,+145,-170,-165
2,2023-02-28,Columbus Blue Jackets,5,Buffalo Sabres,3,+180,+175,-210,-195
3,2023-02-28,New York Islanders,1,Minnesota Wild,2,+125,+122,-145,-140
4,2023-02-28,Pittsburgh Penguins,3,Nashville Predators,1,-125,-135,+105,+120
5,2023-02-28,Seattle Kraken,5,St. Louis Blues,3,-150,-148,+130,+135
6,2023-02-28,Los Angeles Kings,6,Winnipeg Jets,5,+115,+120,-135,-134
7,2023-02-28,Boston Bruins,4,Calgary Flames,3,-120,-130,+100,+115
8,2023-02-28,Chicago Blackhawks,1,Arizona Coyotes,4,+135,+160,-155,-180
9,2023-02-28,Montréal Canadiens,3,San Jose Sharks,1,+125,+140,-145,-155
0,2023-03-01,New York Rangers,3,Philadelphia Flyers,2,-190,-225,+160,+192
1,2023-03-01,Toronto Maple Leafs,2,Edmonton Oilers,5,-125,-106,+105,+100
2,2023-03-01,Arizona Coyotes,2,Dallas Stars,4,+320,+350,-390,-390
3,2023-03-01,New Jersey Devils,7,Colorado Avalanche,5,+105,-105,-125,-110
4,2023-03-01,Carolina Hurricanes,2,Vegas Golden Knights,3,-140,-135,+120,+145
5,2023-03-01,Washington Capitals,3,Anaheim Ducks,2,-190,-195,+160,+185
0,2023-03-02,Buffalo Sabres,1,Boston Bruins,7,+245,+240,-295,-278
1,2023-03-02,Nashville Predators,2,Florida Panthers,1,+140,+192,-165,-220
2,2023-03-02,Ottawa Senators,5,New York Rangers,3,+150,+140,-175,-150
3,2023-03-02,Pittsburgh Penguins,5,Tampa Bay Lightning,4,+145,+145,-170,-160
4,2023-03-02,Seattle Kraken,5,Detroit Red Wings,4,-115,-120,-105,+105
5,2023-03-02,Dallas Stars,5,Chicago Blackhawks,2,-245,-250,+205,+230
6,2023-03-02,Toronto Maple Leafs,2,Calgary Flames,1,-110,+110,-110,-118
7,2023-03-02,Minnesota Wild,2,Vancouver Canucks,1,-165,-150,+140,+140
8,2023-03-02,Montréal Canadiens,2,Los Angeles Kings,3,+190,+220,-225,-245
9,2023-03-02,St. Louis Blues,6,San Jose Sharks,3,+105,+105,-125,-120
0,2023-03-03,Seattle Kraken,4,Columbus Blue Jackets,2,-175,-162,+145,+145
1,2023-03-03,Winnipeg Jets,3,Edmonton Oilers,6,+135,+160,-155,-160
2,2023-03-03,Carolina Hurricanes,6,Arizona Coyotes,1,-355,-335,+275,+340
3,2023-03-03,New Jersey Devils,3,Vegas Golden Knights,4,-115,-102,-105,-109
4,2023-03-03,Montréal Canadiens,2,Anaheim Ducks,3,+120,+100,-140,-114
0,2023-03-04,Detroit Red Wings,1,New York Islanders,4,+165,+170,-200,-195
1,2023-03-04,Tampa Bay Lightning,3,Buffalo Sabres,5,-161,-155,+136,+140
2,2023-03-04,New York Rangers,2,Boston Bruins,4,+142,+155,-172,-170
3,2023-03-04,Colorado Avalanche,3,Dallas Stars,7,-110,+100,-110,-105
4,2023-03-04,Pittsburgh Penguins,1,Florida Panthers,4,+102,+125,-122,-130
5,2023-03-04,Washington Capitals,8,San Jose Sharks,3,-146,-145,+120,+140
6,2023-03-04,Edmonton Oilers,5,Winnipeg Jets,7,-130,-115,+106,+105
7,2023-03-04,Columbus Blue Jackets,2,Ottawa Senators,5,+195,+250,-245,-275
8,2023-03-04,Toronto Maple Leafs,1,Vancouver Canucks,4,-200,-210,+164,+190
